"ID"	"largest_party"	"largest_party_percent"	"valdeltagande"	"KLARA_VALDISTRIKT"	"ALLA_VALDISTRIKT"	"MANDAT_M"	"MANDAT_ANDRING_M"	"ROSTER_M"	"PROCENT_M"	"PROCENT_ANDRING_M"	"MANDAT_C"	"MANDAT_ANDRING_C"	"ROSTER_C"	"PROCENT_C"	"PROCENT_ANDRING_C"	"MANDAT_FP"	"MANDAT_ANDRING_FP"	"ROSTER_FP"	"PROCENT_FP"	"PROCENT_ANDRING_FP"	"MANDAT_KD"	"MANDAT_ANDRING_KD"	"ROSTER_KD"	"PROCENT_KD"	"PROCENT_ANDRING_KD"	"MANDAT_S"	"MANDAT_ANDRING_S"	"ROSTER_S"	"PROCENT_S"	"PROCENT_ANDRING_S"	"MANDAT_V"	"MANDAT_ANDRING_V"	"ROSTER_V"	"PROCENT_V"	"PROCENT_ANDRING_V"	"MANDAT_MP"	"MANDAT_ANDRING_MP"	"ROSTER_MP"	"PROCENT_MP"	"PROCENT_ANDRING_MP"	"MANDAT_SD"	"MANDAT_ANDRING_SD"	"ROSTER_SD"	"PROCENT_SD"	"PROCENT_ANDRING_SD"	"MANDAT_FI"	"MANDAT_ANDRING_FI"	"ROSTER_FI"	"PROCENT_FI"	"PROCENT_ANDRING_FI"
"1781"	"S"	"S"	"85,3"	18	18	0	0	3080	19.3	-6.1	0	0	1011	6.3	0.2	0	0	762	4.8	-1.3	0	0	610	3.8	-0.6	0	0	6611	41.4	0.5	0	0	894	5.6	-0.8	0	0	800	5	-0.4	0	0	1826	11.4	7	0	0	262	1.6	1.5
"1962"	"S"	"S"	"83,6"	4	4	0	0	516	14.2	-5.9	0	0	160	4.4	-0.4	0	0	104	2.9	-1.9	0	0	85	2.3	-0.6	0	0	1414	38.8	-3.7	0	0	319	8.8	-2.3	0	0	152	4.2	-1.5	0	0	741	20.4	13.1	0	0	92	2.5	2.2
"1983"	"S"	"S"	"82,9"	14	14	0	0	2726	17.3	-6	0	0	955	6.1	-0.4	0	0	584	3.7	-1.6	0	0	492	3.1	-0.8	0	0	6427	40.9	-0.2	0	0	873	5.6	-1.2	0	0	614	3.9	-1.2	0	0	2745	17.5	10.5	0	0	206	1.3	1.1
"2583"	"S"	"S"	"67,6"	7	7	0	0	546	13.2	-3.7	0	0	352	8.5	1.2	0	0	67	1.6	0.1	0	0	110	2.7	0	0	0	2103	50.7	-10.1	0	0	200	4.8	0.4	0	0	110	2.7	0.4	0	0	563	13.6	9.8	0	0	68	1.6	1.5
"1290"	"S"	"S"	"82,0"	39	39	0	0	11275	22.4	-9.1	0	0	2618	5.2	-0.2	0	0	3204	6.4	-2.6	0	0	1644	3.3	-0.5	0	0	15021	29.9	1.1	0	0	1531	3	-0.3	0	0	2880	5.7	0.4	0	0	10920	21.7	9.9	0	0	747	1.5	1.2
"1080"	"S"	"S"	"85,9"	39	39	0	0	8605	20.6	-8	0	0	2443	5.9	0.3	0	0	2154	5.2	-1.3	0	0	1644	3.9	-0.3	0	0	15249	36.6	1	0	0	1888	4.5	0.2	0	0	2187	5.2	-0.2	0	0	6488	15.6	6.6	0	0	711	1.7	1.5
"1782"	"S"	"S"	"81,8"	10	10	0	0	796	12.2	-6.3	0	0	258	4	0.2	0	0	146	2.2	-1.8	0	0	135	2.1	-0.8	0	0	3046	46.7	-5.3	0	0	430	6.6	-1.6	0	0	187	2.9	-0.7	0	0	1405	21.5	15.3	0	0	81	1.2	1.2
"0483"	"S"	"S"	"84,4"	20	20	0	0	3969	19	-5.9	0	0	1335	6.4	-0.1	0	0	886	4.2	-2.5	0	0	736	3.5	-0.8	0	0	8303	39.7	1.2	0	0	973	4.7	0.1	0	0	1226	5.9	-1.6	0	0	2999	14.3	8.1	0	0	371	1.8	1.6
"1763"	"S"	"S"	"83,6"	5	5	0	0	1082	14.9	-6.2	0	0	416	5.7	0.6	0	0	225	3.1	-2.1	0	0	251	3.5	-0.8	0	0	3460	47.6	-0.4	0	0	355	4.9	-0.5	0	0	284	3.9	-1	0	0	1026	14.1	8.9	0	0	107	1.5	1.4
"2262"	"S"	"S"	"84,6"	10	10	0	0	1502	13	-5.5	0	0	561	4.8	-0.7	0	0	403	3.5	-1.4	0	0	305	2.6	-0.2	0	0	5847	50.5	0.4	0	0	772	6.7	-0.6	0	0	337	2.9	-0.7	0	0	1606	13.9	7.9	0	0	175	1.5	1.3
